What is your age?,Are you?,Have you used online dating app(s) before?,How often do you use online dating app(s)?,What are you looking for in online dating app(s)?,How long have you used online dating app(s)?,Do you prefer dating app(s) to have more interactive ice breaker activities?,Do you prefer to have a certain number but selective profiles or unlimited profiles recommended per day?,Have you experienced ghosting or being ghosted?,What's your overall experience using online dating app(s)?,What's the main reason you haven't used any dating app?,Do you intend to use any online dating app?
24 to 34,Female,Yes,Frequently,Long-term relationship,1-6 months,Yes,Certain but selective profiles,Both,Positive,,
24 to 34,Male,Yes,Frequently,Long-term relationship,more than 1 year,No,Unlimited profiles,Both,Positive,,
24 to 34,Male,Yes,Rarely,Long-term relationship,more than 1 year,No,Unlimited profiles,Being ghosted,Negative,,
24 to 34,Male,Yes,Rarely,I don't know yet,more than 1 year,Yes,Certain but selective profiles,Being ghosted,Negative,,
18 to 24,Female,No,,,,,,,,Have been in a relationship since I was a minor,No
18 to 24,Female,No,,,,,,,,Prefer real connection over online dating,No
18 to 24,Male,Yes,Occasionally,Long-term relationship,approximately 1 year,Yes,Certain but selective profiles,Both,Negative,,
18 to 24,Female,Yes,Rarely,Long-term relationship,1-6 months,Yes,Unlimited profiles,Both,Positive,,
24 to 34,Male,Yes,Occasionally,Long-term relationship,more than 1 year,No,Certain but selective profiles,Being ghosted,Positive,,
18 to 24,Female,No,,,,,,,,Prefer real connection over online dating,Yes
24 to 34,Female,Yes,Rarely,I don't know yet,1-6 months,Yes,Certain but selective profiles,Being ghosted,Negative,,
24 to 34,Female,No,,,,,,,,Not interested,No
24 to 34,Male,Yes,Frequently,Short-term or casual relationship,more than 1 year,No,Unlimited profiles,Being ghosted,Positive,,
24 to 34,Male,Yes,Rarely,Long-term relationship,more than 1 year,Yes,Unlimited profiles,Being ghosted,Negative,,
24 to 34,Female,Yes,Rarely,I don't know yet,more than 1 year,No,Unlimited profiles,Neither,Very negative,,
24 to 34,Female,Yes,Rarely,Long-term relationship,1-6 months,Yes,Certain but selective profiles,Neither,Positive,,
18 to 24,Female,Yes,Frequently,Long-term relationship,1-6 months,No,Certain but selective profiles,Both,Positive,,
35 +,Female,No,,,,,,,,I'm too old,No
18 to 24,Male,Yes,Occasionally,Short-term or casual relationship,more than 1 year,No,Certain but selective profiles,Both,Positive,,
24 to 34,Male,No,,,,,,,,Prefer real connection over online dating,No
18 to 24,Male,Yes,Rarely,I don't know yet,1-6 months,No,Certain but selective profiles,Both,Negative,,
24 to 34,Female,Yes,Rarely,Long-term relationship,1-6 months,Yes,Certain but selective profiles,Both,Negative,,
18 to 24,Female,No,,,,,,,,Not interested,No
18 to 24,Female,Yes,Occasionally,Short-term or casual relationship,1-6 months,Yes,Unlimited profiles,Ghosting,Positive,,
24 to 34,Female,No,,,,,,,,Prefer real connection over online dating,No
18 to 24,Male,Yes,Rarely,Long-term relationship,1-6 months,No,Certain but selective profiles,Both,Positive,,
35 +,Male,No,,,,,,,,"not my style, also, im old school, traditional",No
24 to 34,Male,Yes,Frequently,Long-term relationship,more than 1 year,Yes,Unlimited profiles,Being ghosted,Negative,,
35 +,Male,No,,,,,,,,Not interested,No
24 to 34,Male,No,,,,,,,,I used earlier but didn't got any result so I left out,No
24 to 34,Male,Yes,Rarely,I don't know yet,1-6 months,Yes,Certain but selective profiles,Both,Negative,,
18 to 24,Female,No,,,,,,,,Not interested,No
